,법정동,축종,발생두수(마리)
560,4167034033,소,2
561,4827025033,소,1
562,4122025930,소,1
563,4617033024,소,2
564,4415031027,소,1
565,4825034025,벌,1
566,4824037026,소,6
567,4573035024,소,1
568,4687025323,소,1
569,4481040029,소,3
570,4376036021,벌,8
571,4575040027,돼지,8
572,4617031026,사슴,54
573,4723025038,소,1
574,4684025026,소,2
575,4684033031,소,2
576,4684035021,소,1
577,4684034023,소,1
578,4684034023,소,1
579,4672039032,소,7
580,4680025034,소,1
581,4617033024,소,1
582,4617035025,소,2
583,4575032029,벌,15
584,4579038035,소,2
585,4518042022,소,10
586,4519033030,소,1
587,4723011200,소,1
588,4481040029,소,11
589,4278032024,벌,35
590,4617031026,사슴,38
591,4872037023,소,1
592,4148025323,소,1
593,4577040034,소,1
594,4686038021,소,3
595,2644012100,벌,13
596,2644012100,벌,17
597,2644012100,벌,8
598,2644012100,벌,2
599,4574033527,소,1
600,4725035028,소,3
601,4684034026,소,1
602,4276025044,벌,1
603,4723038047,벌,125
604,4518042022,소,2
605,4723011500,벌,150
606,4882038029,소,1
607,4313031032,소,4
608,4282032022,소,1
609,4273031034,소,11
610,4617035025,소,2
611,4617013100,소,2
612,4723025038,소,1
613,4211038024,닭,4000
614,4686033024,소,1
615,4686036021,소,5
616,4683038023,소,1
617,4211038024,닭,561
618,4672039032,소,1
619,4377035027,소,3
620,4725036026,소,1
621,4684035021,소,3
622,4623033023,벌,1
623,4571035023,벌,90
624,4684025026,소,1
625,4313033525,벌,12
626,4721010200,소,3
627,4687033033,소,6
628,4573033021,소,1
629,4420031025,소,4
630,4873033027,소,5
631,4481034033,사슴,43
632,4579042024,벌,42
633,4882040021,소,23
634,4725035028,소,1
635,4874037024,소,7
636,4481036028,소,9
637,4717032021,벌,8
638,4684033031,소,1
639,4315036026,벌,3
640,4574033524,소,1
641,4827038031,소,1
642,4672036023,소,1
643,4686025031,소,7
644,4688031025,사슴,1
645,4211031024,벌,1
646,4521032028,소,1
647,4684034022,소,4
648,4684033031,소,5
649,4684034022,소,2
650,4684034023,소,1
651,4683034032,소,1
652,4684032036,소,1
653,4311431024,소,1
654,4420041026,사슴,33
655,4684035021,소,1
656,4721038027,벌,150
657,4773031033,소,6
658,4687033033,소,12
659,4574032023,소,6
660,4518038026,소,9
661,4159041023,벌,5
662,4715035033,소,1
663,4874037024,소,1
664,4721010200,소,1
665,4827025032,소,1
666,4827025032,소,5
667,2771031032,벌,40
668,4686038021,소,1
669,4420025031,사슴,23
670,4686025028,소,1
671,4686036022,소,5
672,4784025028,소,1
673,4886036022,벌,1
674,4723033033,소,1
675,4886036022,벌,1
676,4279034021,벌,1
677,4688031025,사슴,27
678,4148035026,사슴,8
679,4719032022,소,1
680,4684032023,소,1
681,4684032034,소,4
682,4684032037,소,2
683,4684025327,소,3
684,4882040021,소,92
685,3171025329,사슴,13
686,4163031022,소,2
687,4723025041,소,1
688,4773031033,소,1
689,4773033035,벌,20
690,4276033021,벌,5
691,4873033027,소,5
692,4427034037,벌,1
693,4683025031,소,18
694,4719025326,소,3
695,4684032037,소,1
696,4684025026,소,3
697,4684034023,소,26
698,4313039027,사슴,12
699,4577035028,소,1
700,4571039025,소,4
701,4518036026,소,7
702,4729031027,소,3
703,4275025322,벌,9
704,4481034033,사슴,2
705,4725012800,소,1
706,4481040023,소,25
707,4279025024,벌,2
708,4688031025,사슴,1
709,4574035026,소,5
710,4521042034,소,3
711,4148026227,소,1
712,4136036024,소,2
713,4882040021,소,1
714,4686033023,소,1
715,4686038032,소,3
716,4827025033,소,5
717,4575034022,벌,200
718,4280025029,소,2
719,4521042034,소,8
720,4721010500,소,3
721,3611035022,소,1
722,4684025627,소,2
723,4886036022,벌,1
724,4886036022,벌,1
725,4827025032,소,1
726,4617043028,사슴,12
727,4817040022,벌,68
728,4617043028,사슴,36
729,4574033527,소,2
730,4571032023,벌,50
731,4687031024,소,4
732,4827025033,소,1
733,3611035022,소,2
734,4688035025,벌,1
735,4415038038,소,2
736,4276036035,벌,5
737,4276036033,벌,6
738,4686036024,소,5
739,4521034025,소,1
740,4886036022,벌,1
741,4150025330,사슴,7
742,4180025027,닭,2
743,4180037024,벌,2
744,4686038021,소,1
745,4687031024,소,1
746,4155035024,소,3
747,4687025629,소,1
748,4580031022,소,5
749,5011025025,돼지,4
750,4471039030,소,7
751,4420037032,소,2
752,3611035022,소,18
753,4773025028,벌,2
754,4873032024,소,1
755,4691025327,소,1
756,4617031026,소,10
757,4773033033,벌,2
758,4574033527,소,13
759,4773033033,벌,1
760,4575038026,벌,27
761,4773033038,벌,9
762,4617043028,사슴,4
763,4125011100,벌,1
764,2771034028,소,1
765,4817025030,벌,6
766,4684025026,소,2
767,4574032031,소,3
768,4827033023,소,9
769,4729035027,소,1
770,4775035042,소,1
771,4776033040,소,2
772,4886035024,벌,70
773,4683034032,소,5
774,4313039027,사슴,1
775,4521042034,소,1
776,4886036022,벌,5
777,4723025032,벌,7
778,4272037031,벌,40
779,4672036027,벌,1
780,4723025032,벌,20
781,4574033527,소,8
782,4574033527,소,3
783,4772031041,소,1
784,4772034031,소,1
785,4686036024,소,2
786,4519038025,벌,70
787,4313035034,소,4
788,4784032049,소,4
789,4827033023,소,17
790,4729034030,소,29
791,4519040025,닭,3000
792,4575035525,닭,1200
793,4136025328,사슴,2
794,4686038021,소,1
795,4574033527,소,5
796,3611035022,소,1
797,4183033024,소,5
798,4827033023,소,1
799,4691025327,소,1
800,4311425351,소,8
801,4617031026,소,1
802,2915510600,벌,1
803,4725039029,벌,15
804,4575034026,벌,20
805,4678038029,소,55
806,4827033023,소,1
807,2644011900,벌,16
808,4886037028,소,1
809,4276036029,벌,5
810,4888025031,소,1
811,4827033023,소,1
812,4680025624,소,1
813,4519047021,벌,10
814,4519046027,벌,1
815,3611035027,소,3
816,4427031026,소,11
817,4672025029,소,1
818,4481040028,소,5
819,4413325030,소,6
820,4688025034,소,1
821,4684025026,소,2
822,4684025026,소,2
823,4684025026,소,1
824,4782031034,소,1
825,4728025032,벌,2
826,4686031021,소,1
827,4311131027,벌,1
828,4886035028,벌,20
829,4679025031,닭,5
830,4686025031,소,11
831,4136025625,소,4
832,4183041024,소,2
833,3171025329,소,5
834,4678038029,소,1
835,4481040029,소,11
836,2714013100,벌,300
837,4725045030,소,1
838,4311425351,소,1
839,3171038030,벌,1
840,4148035025,소,1
841,4711335037,벌,16
842,4148025623,소,1
843,4777025026,벌,20
844,4686037022,소,2
845,4772025033,소,1
846,4889025025,벌,2
847,4673025026,벌,1
848,4872033025,벌,21
849,4887031023,벌,12
850,4817039027,소,1
851,4213039026,벌,26
852,4213038021,벌,98
853,4213039025,벌,27
854,4827033023,소,178
855,4684025027,소,1
856,4824012300,벌,4
857,4376039027,소,1
858,4684025026,소,1
859,4282032022,소,34
860,4684025026,소,1
861,4713025626,소,3
862,4777035036,벌,30
863,2714011100,벌,2
864,4773033034,벌,6
865,3171039022,소,1
866,4273031034,소,11
867,4686025031,소,2
868,4377035028,소,30
869,4817037022,소,8
870,4873032036,소,4
871,4183033029,사슴,6
872,4683033022,소,1
873,4680025322,소,1
874,4672035034,벌,1
875,4686037022,소,1
876,4211031024,벌,1
877,4580039027,벌,30
878,4481036028,소,13
879,4574031025,소,4
880,4684025029,소,1
881,4481036028,소,2
882,4575032022,벌,2
883,4575031022,벌,6
884,4691025027,소,1
885,4691025029,소,24
886,4427035024,소,8
887,4688037022,소,1
888,4824031030,소,1
889,4824037026,소,19
890,4574032023,소,5
891,4277036022,벌,1
892,4713025626,소,1
893,4827033023,소,2
894,4684025026,소,1
895,4683025031,소,10
896,5013025028,돼지,1
897,4717041034,벌,56
898,4719025326,소,2
899,4518040030,소,1
900,4688034031,소,1
901,4575034026,벌,7
902,4688037022,소,1
903,4688034025,소,5
904,4180033025,소,2
905,4672036027,벌,1
906,4183031021,사슴,2
907,4415036026,소,2
908,4691025029,소,1
909,4574031025,소,1
910,4281035023,벌,8
911,5011025025,돼지,1
912,4824037026,소,1
913,4831034029,벌,10
914,4574032023,소,1
915,4580036024,벌,10
916,5011025027,돼지,1
917,5013025327,돼지,5
918,4729031027,소,4
919,4812532028,벌,1
920,4413135025,소,3
921,4377035027,소,5
922,4812532028,벌,2
923,4825025022,벌,3
924,4157025023,벌,32
925,4155039035,소,15
926,4136036024,소,23
927,4163025026,소,1
928,3611038025,소,1
929,5011025027,돼지,4
930,4518038026,소,14
931,4518036026,소,25
932,4413134023,소,4
933,4148026227,소,10
934,4272035021,소,4
935,4824031030,소,1
936,4886034026,소,2
937,4183031022,소,2
938,4678025333,소,3
939,4519040025,닭,7317
940,4711331031,벌,1
941,4413125031,벌,25
942,4623036022,벌,50
943,4413125031,벌,20
944,4615037021,벌,4
945,4277025030,벌,1
946,4825035021,소,2
947,4275031022,벌,1
948,4723025041,소,16
949,4519025032,소,4
950,4276025032,벌,2
951,4155039035,소,1
952,4313012200,벌,6
953,4574035026,소,5
954,4480037025,소,4
955,4377035032,소,6
956,4480033024,소,24
957,4729034036,소,1
958,4481040022,소,7
959,4518038026,소,1
960,4672040029,소,1
961,4513032027,소,4
962,4577035028,소,17
963,4792031023,벌,10
964,4775033030,벌,2
965,4713036028,소,1
966,4518040030,소,7
967,4713037026,벌,5
968,4773041033,소,3
969,4574033527,소,2
970,4729037021,소,1
971,4773033037,벌,7
972,4279033030,벌,1
973,4213033026,소,2
974,4136025629,벌,1
975,4279033030,벌,1
976,4713011400,벌,11
977,4719034026,소,3
978,4272035023,소,4
979,4719034026,소,1
980,4377035028,소,4
981,4519040024,소,10
982,4617035025,소,1
983,4148026227,소,1
984,4518040030,소,1
985,4155035024,소,12
986,4471039030,소,4
987,4519046027,벌,3
988,4824036028,소,3
989,4575031022,벌,8
990,4773041033,소,1
991,4824032029,소,1
992,4150033025,벌,2
993,4427010700,벌,1
994,4882034021,소,1
995,4575032022,벌,1
996,4377035027,소,1
997,4136031022,벌,1
998,4615037021,벌,4
999,4719025337,소,2
1000,4418033026,소,10
1001,4691025027,소,14
1002,4272037026,벌,3
1003,4480033022,소,4
1004,4136026222,소,1
1005,4824032029,소,1
1006,4211031030,벌,6
1007,4723025041,소,1
1008,4272035028,소,2
1009,4872037022,소,1
1010,4782036037,소,1
1011,4824036028,소,1
1012,4784032044,소,1
1013,4282025032,벌,25
1014,3171036022,소,1
1015,4617035025,소,1
1016,4572025026,벌,20
1017,4728025333,벌,2
1018,4480035030,소,4
1019,4719034026,소,1
1020,4688031025,소,2
1021,4580031022,소,15
1022,4827025033,소,11
1023,4719025337,소,1
1024,4272035030,소,3
1025,4721010500,소,4
1026,4682033031,벌,90
1027,4773033036,벌,5
1028,4420037032,소,16
1029,4413325030,소,3
1030,4773033036,벌,6
1031,4812532027,벌,2
1032,4784032049,소,1
1033,4873032022,벌,1
1034,4827025033,소,1
1035,4825034025,벌,1
1036,4687031026,소,1
1037,4481040029,소,8
1038,4617031026,소,18
1039,4617031025,소,9
1040,4572035026,벌,19
1041,4615037021,벌,17
1042,4148011200,소,5
1043,4480035031,소,54
1044,4519034029,소,3
1045,4873032024,소,2
1046,4882035026,소,2
1047,4882035026,소,2
1048,4723031022,소,1
1049,5011025628,돼지,2
1050,4167034026,소,1
1051,4148025623,소,1
1052,4420025321,소,1
1053,4136025328,사슴,2
1054,5011025621,돼지,1
1055,4719012800,벌,3
1056,4377035027,소,1
1057,4615038038,돼지,13
1058,2824510800,소,1
1059,5013025025,돼지,1
1060,4688034025,소,1
1061,4773033033,벌,7
1062,4721010500,소,1
1063,4812532028,벌,1
1064,4136025625,소,10
1065,4784038035,소,1
1066,4683037021,닭,18500
1067,4572035026,벌,41
1068,4577035027,소,1
1069,4617032028,소,6
1070,4148025623,소,2
1071,4148025623,소,1
1072,2671033027,벌,3
1073,4825025022,벌,1
1074,4717025028,소,1
1075,4684025026,소,1
1076,4276025032,벌,2
1077,4792031024,벌,3
1078,4280032022,소,1
1079,4715044029,닭,2400
1080,4136025625,소,2
1081,4280034023,벌,1
1082,4574033527,소,2
1083,4678025329,벌,20
1084,4684025026,소,1
1085,4680025034,소,2
1086,4376039027,소,6
1087,4617033025,소,3
1088,4711312200,벌,6
1089,4313035034,소,4
1090,5011025029,돼지,2
1091,4148035025,소,5
1092,4313039023,소,2
1093,4148025323,소,16
1094,4427031026,소,6
1095,4481025327,소,2
1096,4278025328,소,1
1097,4827025033,소,14
1098,4580031022,소,1
1099,4812532028,벌,1
1100,4272038028,소,2
1101,4886038029,벌,3
1102,4377035027,소,4
1103,4374525030,소,1
1104,4427031029,소,2
1105,4833032028,소,2
1106,4577035029,소,12
1107,4827031034,소,2
1108,4617012500,소,2
1109,4159033028,소,2
1110,4686036021,소,2
1111,4889031027,벌,4
1112,4873032036,소,7
1113,4623033021,벌,6
1114,4673033022,소,15
1115,4686038022,소,5
1116,4427035024,소,1
1117,4180033046,소,1
1118,4812532028,벌,1
1119,4617043032,소,26
1120,4183041024,소,10
1121,4717041035,벌,30
1122,4311133033,소,3
1123,4617012500,소,3
1124,4180033025,소,7
1125,4686038022,소,1
1126,4521038025,닭,53
